poi_id,name,region,locality,address,postcode,longitude,latitude,category_level1,category_level2,category_level3,business_status,phone,website_domain,rating,rating_count,traffic_score,time_spent,update_month
c76872c32c22faa5364c9e69901b68d1,Prits Leather Art (P) Ltd.,Uttar Pradesh,Noida,"D-254, D Block, Sector 63, Noida, Uttar Pradesh 201301, India",201301,77.38743448,28.62766349,Industrial & Manufacturing & Resources,Wholesale & Distribution,Leather exporter,Open,+91 120 427 3403,pritsleather.com,4.5,135,,People typically spend 15 min to 1.5 hr here,Mar-25
c93db6492efab7df52bb6df26b038026,Armstrong Dematic,Maharashtra,Malegaon Tilwan,"MH SH 7, Malegaon Tilwan, Maharashtra 423301, India",423301,74.1969291,20.57400891,Industrial & Manufacturing & Resources,Wholesale & Distribution,Industrial equipment supplier,Open,+91 2555 225 294,armstrongltd.com,4.5,33,,People typically spend 15 min to 1.5 hr here,Mar-25
18bf02725c5fc84a2ca84e2fdcd62af4,Sarla Performance Fibers Limited,Gujarat,Vapi,"40 Shed Area, GIDC, Vapi, Gujarat 396191, India",396191,72.93342787,20.35167147,Industrial & Manufacturing & Resources,Wholesale & Distribution,Threads and yarns wholesaler,Open 24 hours,+91 22 2283 4116,sarlafibers.com,3.1,10,,People typically spend 15 min to 1.5 hr here,Mar-25
f009e82a2aa83c1760ac2981fc106d6e,MARIS Associates Private Limited,Tamil Nadu,Thoothukudi,"C102, Sipcot Industrial Complex, Madathur, Thoothukudi, Tamil Nadu 628008, India",628008,78.08984136,8.80106345,Industrial & Manufacturing & Resources,Wholesale & Distribution,Plastic bag supplier,Open,+91 461 234 0166,marisfibc.com,4.1,15,,People typically spend 25 min to 2.5 hr here,Mar-25
17fde7c671f4a99e299504b869bc35ee,S. R. Agrotech,Karnataka,Tumakuru,"Near Bethur Gate Bellavi, Road, Bheemasandra, Tumakuru, Karnataka 572107, India",572107,77.06961332,13.35157925,Industrial & Manufacturing & Resources,Wholesale & Distribution,Agricultural product wholesaler,Open,+91 94488 66543,sragrotech.in,3.6,17,,People typically spend 15 min to 1 hr here,Mar-25
e85d3a128586fc1f2d290099cab9aaef,"Ultimate Power Systems (Hykon Authorized Distributor for Solar Water Heater ,Solar inverter)",Kerala,Thodupuzha,"Ultimate power systems kaniyaparambil building ,kolani Pala, Pala-Thodupuzha Rd, Thodupuzha, Kerala 685608, India",685608,76.69972622,9.88150618,Industrial & Manufacturing & Resources,Wholesale & Distribution,Solar energy equipment supplier,Open,+91 81380 38254,facebook.com,4.5,17,,People typically spend 15 min here,Mar-25
140d1a31a81be1727b5b4c4fb6d2ceb2,Manohar Foods,Madhya Pradesh,Bhopal,"Plot no. 6, Sector B, Govindpura Industrial Area, Bhopal, Madhya Pradesh 462023, India",462023,77.45100451,23.25881896,Industrial & Manufacturing & Resources,Wholesale & Distribution,Food manufacturing supply,Open,+91 755 426 0309,manohardairy.com,4.4,19,,People typically spend 20 min to 2 hr here,Mar-25
12ef850ec36bdb18f40e2093ce88998c,LOOKS LUXURIOUS FURNITURE MALL,Gujarat,Morbi,"8, Lati Plot Main Rd, jonsh nagar, Morbi, Gujarat 363641, India",363641,70.82823096,22.81679096,Industrial & Manufacturing & Resources,Wholesale & Distribution,Furniture wholesaler,Open,+91 84900 95095,youtube.com,4.1,46,,People typically spend 15 min to 1 hr here,Mar-25
1f0bd2fcad2431d032ef6b53a97de234,Vikas Rubbers,Kerala,Kottayam,"Manarcadu Thengana Road, Thalappady, Kottayam, Kerala 686019, India",686019,76.58004714,9.57669457,Industrial & Manufacturing & Resources,Industrial & Resource Production,Rubber products supplier,Open,+91 95262 67550,vikasrubbermats.com,5,9,,People typically spend 15 min to 1.5 hr here,Mar-25
3cae0058b41a514ebb1609367a6bce0b,Shivaganga Farmers Producer Company Ltd,Karnataka,Nelamangala Town,"GF, Survey No 10, Kempalinganahalli, Nelamangala Kasaba Hobli, Bengaluru, rural, Nelamangala Town, Karnataka 562123, India",562123,77.37455557,13.09316373,Industrial & Manufacturing & Resources,Wholesale & Distribution,Vegetable wholesaler,Open,+91 91410 40866,shivaganga.in,4.5,198,,People typically spend 15 min to 1 hr here,Mar-25
